Continent,Region/Country,Product,Variable,Year,Unit,Quantity
Asia,Afghanistan,Wine,Production,2010,1000 hl,0
Asia,Afghanistan,Wine,Production,2011,1000 hl,0
Asia,Afghanistan,Wine,Production,2012,1000 hl,0
Asia,Afghanistan,Wine,Production,2013,1000 hl,0
Asia,Afghanistan,Wine,Production,2014,1000 hl,0
Asia,Afghanistan,Wine,Production,2015,1000 hl,0
Asia,Afghanistan,Wine,Production,2016,1000 hl,0
Asia,Afghanistan,Wine,Production,2017,1000 hl,0
Asia,Afghanistan,Wine,Production,2018,1000 hl,0
Asia,Afghanistan,Wine,Production,2019,1000 hl,0
Asia,Afghanistan,Wine,Production,2020,1000 hl,0
Asia,Afghanistan,Wine,Production,2021,1000 hl,0
Asia,Afghanistan,Wine,Production,2022,1000 hl,0
Europe,Albania,Wine,Production,1995,1000 hl,  169
Europe,Albania,Wine,Production,1996,1000 hl,  293
Europe,Albania,Wine,Production,1997,1000 hl,  168
Europe,Albania,Wine,Production,1998,1000 hl,  105
Europe,Albania,Wine,Production,1999,1000 hl,  127
Europe,Albania,Wine,Production,2000,1000 hl,  74
Europe,Albania,Wine,Production,2001,1000 hl,  142
Europe,Albania,Wine,Production,2002,1000 hl,  66
Europe,Albania,Wine,Production,2003,1000 hl,  92
Europe,Albania,Wine,Production,2004,1000 hl,  140
Europe,Albania,Wine,Production,2005,1000 hl,  171
Europe,Albania,Wine,Production,2006,1000 hl,  170
Europe,Albania,Wine,Production,2007,1000 hl,  178
Europe,Albania,Wine,Production,2008,1000 hl,  161
Europe,Albania,Wine,Production,2009,1000 hl,  175
Europe,Albania,Wine,Production,2010,1000 hl,  181
Europe,Albania,Wine,Production,2011,1000 hl,  180
Europe,Albania,Wine,Production,2012,1000 hl,  190
Europe,Albania,Wine,Production,2013,1000 hl,  180
Europe,Albania,Wine,Production,2014,1000 hl,  175
Europe,Albania,Wine,Production,2015,1000 hl,  164
Europe,Albania,Wine,Production,2016,1000 hl,  178
Europe,Albania,Wine,Production,2017,1000 hl,  169
Europe,Albania,Wine,Production,2018,1000 hl,  153
Europe,Albania,Wine,Production,2019,1000 hl,  187
Europe,Albania,Wine,Production,2020,1000 hl,  192
Europe,Albania,Wine,Production,2021,1000 hl,  295
Europe,Albania,Wine,Production,2022,1000 hl,  228
Africa,Algeria,Wine,Production,1995,1000 hl,  571
Africa,Algeria,Wine,Production,1996,1000 hl,  392
Africa,Algeria,Wine,Production,1997,1000 hl,  357
Africa,Algeria,Wine,Production,1998,1000 hl,  360
Africa,Algeria,Wine,Production,1999,1000 hl,  422
Africa,Algeria,Wine,Production,2000,1000 hl,  424
Africa,Algeria,Wine,Production,2001,1000 hl,  420
Africa,Algeria,Wine,Production,2002,1000 hl,  700
Africa,Algeria,Wine,Production,2003,1000 hl,  820
Africa,Algeria,Wine,Production,2004,1000 hl,  850
Africa,Algeria,Wine,Production,2005,1000 hl,  900
Africa,Algeria,Wine,Production,2006,1000 hl, 1 050
Africa,Algeria,Wine,Production,2007,1000 hl,  520
Africa,Algeria,Wine,Production,2008,1000 hl,  500
Africa,Algeria,Wine,Production,2009,1000 hl,  588
Africa,Algeria,Wine,Production,2010,1000 hl,  475
Africa,Algeria,Wine,Production,2011,1000 hl,  480
Africa,Algeria,Wine,Production,2012,1000 hl,  492
Africa,Algeria,Wine,Production,2013,1000 hl,  498
Africa,Algeria,Wine,Production,2014,1000 hl,  126
Africa,Algeria,Wine,Production,2015,1000 hl,  96
Africa,Algeria,Wine,Production,2016,1000 hl,  66
Africa,Algeria,Wine,Production,2017,1000 hl,  227
Africa,Algeria,Wine,Production,2018,1000 hl,  193
Africa,Algeria,Wine,Production,2019,1000 hl,  193
Africa,Algeria,Wine,Production,2020,1000 hl,  193
Africa,Algeria,Wine,Production,2021,1000 hl,  193
Africa,Algeria,Wine,Production,2022,1000 hl,  193
America,Argentina,Wine,Production,1995,1000 hl, 16 443
America,Argentina,Wine,Production,1996,1000 hl, 12 681
America,Argentina,Wine,Production,1997,1000 hl, 13 500
America,Argentina,Wine,Production,1998,1000 hl, 12 673
America,Argentina,Wine,Production,1999,1000 hl, 15 888
America,Argentina,Wine,Production,2000,1000 hl, 12 537
America,Argentina,Wine,Production,2001,1000 hl, 15 835
America,Argentina,Wine,Production,2002,1000 hl, 12 695
America,Argentina,Wine,Production,2003,1000 hl, 13 225
America,Argentina,Wine,Production,2004,1000 hl, 15 464
America,Argentina,Wine,Production,2005,1000 hl, 15 222
America,Argentina,Wine,Production,2006,1000 hl, 15 396
America,Argentina,Wine,Production,2007,1000 hl, 15 046
America,Argentina,Wine,Production,2008,1000 hl, 14 676
America,Argentina,Wine,Production,2009,1000 hl, 12 135
America,Argentina,Wine,Production,2010,1000 hl, 16 250
America,Argentina,Wine,Production,2011,1000 hl, 15 473
